2015-09-24 13:45:39,072 INFO  (main) [org.databene.CONFIG] Running file ./benerator.xml
2015-09-24 13:45:39,074 INFO  (main) [org.databene.CONFIG] Benerator 0.9.8 build 9
2015-09-24 13:45:39,074 INFO  (main) [org.databene.CONFIG] Java version 1.6.0_65
2015-09-24 13:45:39,074 INFO  (main) [org.databene.CONFIG] JVM Java HotSpot(TM) 64-Bit Server VM 20.65-b04-466.1 (Apple Inc.)
2015-09-24 13:45:39,074 INFO  (main) [org.databene.CONFIG] OS Mac OS X 10.10.5 (x86_64)
2015-09-24 13:45:39,074 INFO  (main) [org.databene.CONFIG] Installed JSR 223 Script Engines:
2015-09-24 13:45:39,081 INFO  (main) [org.databene.CONFIG] - AppleScriptEngine[AppleScriptEngine, AppleScript, OSA]
2015-09-24 13:45:39,081 INFO  (main) [org.databene.CONFIG] - Mozilla Rhino[js, rhino, JavaScript, javascript, ECMAScript, ecmascript]
2015-09-24 13:45:39,081 INFO  (main) [org.databene.CONFIG] Configured heap size limit: 123 MB
2015-09-24 13:45:39,875 INFO  (main) [org.databene.benerator.engine.statement.EvaluateStatement] Executing inline script
2015-09-24 13:45:40,139 INFO  (main) [org.databene.JDBC] Connected to MySQL 5.6.26
2015-09-24 13:45:40,139 INFO  (main) [org.databene.JDBC] Using driver MySQL-AB JDBC Driver mysql-connector-java-5.1.12 ( Revision: ${bzr.revision-id} )
2015-09-24 13:45:40,139 INFO  (main) [org.databene.JDBC] JDBC version 3.0
2015-09-24 13:45:40,263 INFO  (main) [org.databene.jdbacl.model.jdbc.JDBCDBImporter] Importing tables from environment '___temp'
2015-09-24 13:45:40,276 INFO  (main) [org.databene.platform.db.DefaultDBSystem] Fetching table details and ordering tables by dependency
2015-09-24 13:45:40,582 INFO  (main) [org.databene.task.TaskExecutor] Running task StateTrackingTaskProxy[GenerateAndConsumeTask(student)] 100000 times with page size 1 in a single thread
2015-09-24 13:46:51,460 INFO  (main) [org.databene.benerator.engine.statement.TimedGeneratorStatement] Created 100000 data sets from 'student' setup in 1.2 min (1404/s)
2015-09-24 13:46:52,027 INFO  (main) [org.databene.task.TaskExecutor] Running task StateTrackingTaskProxy[GenerateAndConsumeTask(teacher)] 10000 times with page size 1 in a single thread
2015-09-24 13:48:30,470 INFO  (main) [org.databene.benerator.engine.statement.TimedGeneratorStatement] Created 85042 data sets from 'teacher' setup in 1.7 min (858/s)
2015-09-24 13:48:30,472 INFO  (main) [org.databene.benerator.engine.DescriptorRunner] Created a total of 185042 entities in 2,9 min (~3,800,000 p.h.)
2015-09-24 13:48:30,477 INFO  (main) [org.databene.jdbacl.model.cache.CachingDBImporter] Exporting Database meta data of ___temp to cache file
2015-09-24 13:48:30,503 INFO  (main) [org.databene.CONFIG] Max. committed heap size: 123 MB
